Program,Operation,Input Shape,Strategy,Runtime (s),Predicted Strategy,Selected Strategy,Strategy Correct?,All Outputs Correct?
"TensorProgram(operation='elementwise_chain', shape=(64, 64))",elementwise_chain,"(64, 64)",baseline,0.00025284399998781737,baseline,fused,True,True
"TensorProgram(operation='elementwise_chain', shape=(64, 64))",elementwise_chain,"(64, 64)",fused,0.0002524380000181736,baseline,fused,True,True
"TensorProgram(operation='elementwise_chain', shape=(128, 128))",elementwise_chain,"(128, 128)",baseline,0.0005977789999747074,fused,fused,True,True
"TensorProgram(operation='elementwise_chain', shape=(128, 128))",elementwise_chain,"(128, 128)",fused,0.0005680279999751292,fused,fused,True,True
"TensorProgram(operation='elementwise_chain', shape=(256, 256))",elementwise_chain,"(256, 256)",baseline,0.0024185879999549798,fused,baseline,True,True
"TensorProgram(operation='elementwise_chain', shape=(256, 256))",elementwise_chain,"(256, 256)",fused,0.0024537449999684213,fused,baseline,True,True
"TensorProgram(operation='elementwise_chain', shape=(512, 512))",elementwise_chain,"(512, 512)",baseline,0.010032932000001438,fused,fused,True,True
"TensorProgram(operation='elementwise_chain', shape=(512, 512))",elementwise_chain,"(512, 512)",fused,0.009490378999998939,fused,fused,True,True
"TensorProgram(operation='elementwise_chain', shape=(1024, 1024))",elementwise_chain,"(1024, 1024)",baseline,0.0453513820000353,fused,fused,True,True
"TensorProgram(operation='elementwise_chain', shape=(1024, 1024))",elementwise_chain,"(1024, 1024)",fused,0.04118027300000904,fused,fused,True,True
"TensorProgram(operation='matmul', shape=(64, 64))",matmul,"(64, 64)",baseline,2.576100001761006e-05,baseline,baseline,True,True
"TensorProgram(operation='matmul', shape=(64, 64))",matmul,"(64, 64)",tiled,3.2320000002528104e-05,baseline,baseline,True,True
"TensorProgram(operation='matmul', shape=(128, 128))",matmul,"(128, 128)",baseline,0.00015998999998600993,baseline,baseline,True,True
"TensorProgram(operation='matmul', shape=(128, 128))",matmul,"(128, 128)",tiled,0.00045322199997599455,baseline,baseline,True,True
"TensorProgram(operation='matmul', shape=(256, 256))",matmul,"(256, 256)",baseline,0.0011569310000254518,tiled,baseline,True,True
"TensorProgram(operation='matmul', shape=(256, 256))",matmul,"(256, 256)",tiled,0.0039705390000222,tiled,baseline,True,True
"TensorProgram(operation='matmul', shape=(512, 512))",matmul,"(512, 512)",baseline,0.009360281999988729,tiled,baseline,True,True
"TensorProgram(operation='matmul', shape=(512, 512))",matmul,"(512, 512)",tiled,0.02414788999999473,tiled,baseline,True,True
